-1134, 1602, 782
-1383, 1643, 614
-1214, 1602, 498
-588, 1342, 471
-169, 900, 518
36, 384, 552
-102, -450, 464
151, -1042, 590
151, -1042, 590
60, -1794, 565
-448, -1998, 854
-316, -1998, 1048
-,-,-
-1047, 1921, 756
-1232, 1672, 462
-1412, 1258, 483
-881, 1132, 599
-345, 719, 850
-345, 719, 850
30, 251, 1090
-31, -635, 716
442, -1106, 806
534, -1804, 687
-105, -1998, 693
-340, -1998, 656
-,-,-
-921, 1990, 1238
-715, 1997, -17
-1012, 1495, 270
-430, 979, 343
67, 391, 492
317, -298, 901
341, -1207, 1074
341, -1207, 1074
69, -1970, 857
-111, -1998, 1047
-,-,-
-727, 1818, 1132
-801, 1718, 200
-963, 1249, 324
-1082, 743, 239
-632, 591, 669
-15, 436, 928
375, -132, 891
375, -132, 891
173, -891, 612
153, -1369, 538
362, -1695, 738
-,-,-
-662, 1661, 1017
-981, 1712, 620
-1157, 1595, 615
-640, 1399, 179
-591, 1016, 246
-437, 794, 689
-296, 302, 631
-296, 302, 631
102, -152, 627
196, -796, 529
304, -1252, 436
230, -1548, 362
-183, -1852, 390
-576, -1998, 988
-559, -1998, 1478
-,-,-
-849, 1868, 1134
-957, 1795, 234
-1091, 1346, 125
-1089, 1051, -13
-600, 824, 380
222, 393, 696
222, 393, 696
105, -487, 661
169, -899, 978
468, -1457, 938
-,-,-
-759, 1487, 226
-917, 1633, 521
-1100, 1708, 543
-1093, 1565, 463
-648, 1431, 624
-450, 1032, 656
-450, 1032, 656
-269, 502, 658
138, -56, 894
231, -872, 833
250, -1416, 1204
86, -1888, 1371
-136, -1998, 1232
-297, -1973, 1231
-402, -1796, 1063
-,-,-
-1145, 665, 902
-1261, 945, 174
-748, 1259, 161
-890, 1151, 460
-1269, 664, 813
-869, 382, 1016
-494, 86, 965
-200, -139, 673
-47, -539, 303
-47, -539, 303
-130, -1030, 242
-282, -1457, 530
-97, -1700, 1000
-65, -1917, 1061
-,-,-
-970, 1096, 620
-970, 1096, 509
-1399, 1020, 509
-1035, 1043, 442
-599, 1111, 612
-855, 901, 764
-555, 823, 753
-241, 446, 721
-289, -303, 473
-170, -755, 618
316, -1141, 574
-310, -1887, 254
-202, -1494, -478
568, -698, 1424
-326, -1463, 418
